Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z
Transporte Público Masivo de Pasajeros Tuzobús.,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,5.0,1.0,0.0,Nivel 1,1.0,1,-0.3279600781815585
Impuesto sobre Tenencia y Refrendo Vehicular (para vehículo particular y de demostración),Secretaría de Hacienda,Secretaría de Hacienda,10.0,8.0,2.0,Nivel 4.1,1.0,3,0.2032481308432191
Canje de Placas,Secretaría de Hacienda,Secretaría de Hacienda,20.0,10.0,3.0,,1.0,3,1.312532386253286
Servicio de laboratorio clínico en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 1,0.0,2,-0.34291281978269883
Cambio de Propietario,Secretaría de Hacienda,Secretaría de Hacienda,1440.0,7.0,2.0,,1.0,3,1.1718015039324032
Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,,1.0,3,0.728725354677357
Asesoría Jurídica.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,0.0,0.0,0.0,Nivel 1,0.0,2,-0.5972838348248549
Expedición de Constancia de NO Antecedentes Penales,Procuraduría General de Justicia,Procuraduría General de Justicia,60.0,5.0,1.0,Nivel 2,1.0,1,0.11100563439718844
Radiología e Imagenología del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4609610010030637
Patrocinio Jurídico.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4609610010030637
Admisión COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,10.0,3.0,0.0,Nivel 1,1.0,1,-0.1710379749184971
Legalización de Documentos,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,1,-0.2476153605647967
Reinscripción COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,10.0,0.0,0.0,Nivel 1,1.0,1,-0.28908615613886196
"Inscripción de Alfabetización, Primaria y Secundaria Abierta de Educación para Adultos",Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,120.0,4.0,1.0,Nivel 1,0.0,2,-0.22214471470249242
Bolsa de Trabajo y Abriendo Espacios,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,0.0,,0.0,2,0.08422588411642051
Reinscripción UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,15.0,2.0,0.0,Nivel 1,1.0,1,-0.14700738002920394
Becas Institucionales UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4609610010030637
Apostillas,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,1,-0.2476153605647967
Acreditación de Primaria y Secundaria Abierta de Educación para Adultos,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,8640.0,2.0,0.0,Nivel 1,0.0,2,-0.17355903170551126
Certificación de Primaria y Secundaria Abierta de Educación para Adultos,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,12960.0,1.0,0.0,Nivel 1,0.0,2,-0.2656055821198349
(Inscripción y Reinscripción) por módulo CONALEPH.,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,4.0,0.0,Nivel 1,1.0,1,0.32770868917200147
Reinscripción UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,1.0,0.0,,1.0,1,-0.20633622179596417
Educación Continua UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,120.0,6.0,1.0,Nivel 2,1.0,1,0.15493209035403094
Conciliación prejudicial laboral,Secretaría de Trabajo y Previsión Social,Centro de Conciliación Laboral del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.40224166154945895
Por Búsqueda de Testamento y Expedición de Constancia,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,1,0.04178453998292173
Reinscripción UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,1.0,0.0,Nivel 4.2,1.0,0,-0.7297969299361935
Credencial Institucional UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,0.0,0.0,Nivel 4.2,0.0,0,-1.1655930744463217
Evaluación Segunda Oportunidad (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,4320.0,1.0,0.0,,1.0,1,0.15846138176491273
Asesoria en materia de Seguridad y Salud en el Trabajo,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,1.0,,0.0,2,0.09245594113867303
Autorregulación Ambiental,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,36000.0,4.0,2.0,,1.0,3,1.143038677356297
Póliza de Accidentes Personales Escolares en CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 1,1.0,1,0.09288332472742933
Historial académico UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,0.0,0.0,Nivel 4.2,0.0,0,-1.1655930744463217
Asesorías laborales sobre tus derechos y obligaciones como trabajador.,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,0.0,,0.0,2,0.08422588411642051
Escuela de Fútbol Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,4.0,1.0,Nivel 2,1.0,1,0.013298107094722811
