Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Transporte Público Masivo de Pasajeros Tuzobús.,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,5.0,1.0,0.0,Nivel 1,1.0,1,-0.3173321499062208
Impuesto sobre Tenencia y Refrendo Vehicular (para vehículo particular y de demostración),Secretaría de Hacienda,Secretaría de Hacienda,10.0,8.0,2.0,Nivel 4.1,1.0,0,-0.17700583146127985
Canje de Placas,Secretaría de Hacienda,Secretaría de Hacienda,20.0,10.0,3.0,,1.0,1,1.0347162883231678
Servicio de laboratorio clínico en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 1,0.0,2,-0.3881603833193503
Cambio de Propietario,Secretaría de Hacienda,Secretaría de Hacienda,1440.0,7.0,2.0,,1.0,1,1.0336858849002002
Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,,1.0,1,0.750327265496588
Asesoría Jurídica.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,0.0,0.0,0.0,Nivel 1,0.0,2,-0.6539868457103414
Expedición de Constancia de NO Antecedentes Penales,Procuraduría General de Justicia,Procuraduría General de Justicia,60.0,5.0,1.0,Nivel 2,1.0,1,0.07156139220747924
Radiología e Imagenología del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Patrocinio Jurídico.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Admisión COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,10.0,3.0,0.0,Nivel 1,1.0,1,-0.17331682723909808
Legalización de Documentos,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,1,-0.21690125288526857
Reinscripción COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,10.0,0.0,0.0,Nivel 1,1.0,1,-0.26873974735285017
"Inscripción de Alfabetización, Primaria y Secundaria Abierta de Educación para Adultos",Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,120.0,4.0,1.0,Nivel 1,0.0,2,-0.34487654416712177
Bolsa de Trabajo y Abriendo Espacios,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,0.0,,0.0,2,0.19790030296625294
Reinscripción UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,15.0,2.0,0.0,Nivel 1,1.0,1,-0.14327858362748175
Becas Institucionales UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Apostillas,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,1,-0.21690125288526857
Acreditación de Primaria y Secundaria Abierta de Educación para Adultos,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,8640.0,2.0,0.0,Nivel 1,0.0,2,-0.17646814822286588
Certificación de Primaria y Secundaria Abierta de Educación para Adultos,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,12960.0,1.0,0.0,Nivel 1,0.0,2,-0.23938902982906632
(Inscripción y Reinscripción) por módulo CONALEPH.,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,4.0,0.0,Nivel 1,1.0,1,0.3464032406050199
Reinscripción UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,1.0,0.0,,1.0,1,-0.1653023294242278
Educación Continua UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,120.0,6.0,1.0,Nivel 2,1.0,1,0.12646946215353233
Conciliación prejudicial laboral,Secretaría de Trabajo y Previsión Social,Centro de Conciliación Laboral del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Por Búsqueda de Testamento y Expedición de Constancia,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,1,0.14088559287035513
Reinscripción UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,1.0,0.0,Nivel 4.2,1.0,0,-0.8196282145995144
Credencial Institucional UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,0.0,0.0,Nivel 4.2,0.0,0,-1.3643733952371746
Evaluación Segunda Oportunidad (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,4320.0,1.0,0.0,,1.0,1,0.29069467502686824
Asesoria en materia de Seguridad y Salud en el Trabajo,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,1.0,,0.0,2,0.20422484431504428
Autorregulación Ambiental,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,36000.0,4.0,2.0,,1.0,1,1.1123683501645538
